-72.18681335	-88.39456940	0.04243285
-71.68681335	-88.39456940	0.04261586
-71.18681335	-88.39456940	0.03909262
-70.68681335	-88.39456940	0.03972895
-70.18681335	-88.39456940	0.03981777
-69.68681335	-88.39456940	0.03990082
-69.18681335	-88.39456940	0.03995881
-68.68681335	-88.39456940	0.04002032
-68.18681335	-88.39456940	0.04006130
-67.68681335	-88.39456940	0.04010336
-67.18681335	-88.39456940	0.04013737
-66.68681335	-88.39456940	0.04017035
-66.18681335	-88.39456940	0.04020030
-65.68681335	-88.39456940	0.04022910
-65.18681335	-88.39456940	0.04025675
-64.68681335	-88.39456940	0.04028353
-64.18681335	-88.39456940	0.04030981
-63.68681335	-88.39456940	0.04033548
-63.18681335	-88.39456940	0.04036084
-62.68681335	-88.39456940	0.04038574
-62.18681335	-88.39456940	0.04041037
-61.68681335	-88.39456940	0.04043460
-61.18681335	-88.39456940	0.04045850
-60.68681335	-88.39456940	0.04048200
-60.18681335	-88.39456940	0.04050509
-59.68681335	-88.39456940	0.04052773
-59.18681335	-88.39456940	0.04054987
-58.68681335	-88.39456940	0.04057148
-58.18681335	-88.39456940	0.04059250
-57.68681335	-88.39456940	0.04061290
-57.18681335	-88.39456940	0.04063262
-56.68681335	-88.39456940	0.04065163
-56.18681335	-88.39456940	0.04066987
-55.68681335	-88.39456940	0.04068731
-55.18681335	-88.39456940	0.04070392
-54.68681335	-88.39456940	0.04071965
-54.18681335	-88.39456940	0.04073447
-53.68681335	-88.39456940	0.04074835
-53.18681335	-88.39456940	0.04076126
-52.68681335	-88.39456940	0.04077318
-52.18681335	-88.39456940	0.04078408
-51.68681335	-88.39456940	0.04079394
-51.18681335	-88.39456940	0.04080274
-50.68681335	-88.39456940	0.04081046
-50.18681335	-88.39456940	0.04081709
-49.68681335	-88.39456940	0.04082260
-49.18681335	-88.39456940	0.04082698
-48.68681335	-88.39456940	0.04083021
-48.18681335	-88.39456940	0.04083230
-47.68681335	-88.39456940	0.04083321
-47.18681335	-88.39456940	0.04083295
-46.68681335	-88.39456940	0.04083150
-46.18681335	-88.39456940	0.04082885
-45.68681335	-88.39456940	0.04082500
-45.18681335	-88.39456940	0.04081995
-44.68681335	-88.39456940	0.04081369
-44.18681335	-88.39456940	0.04080622
-43.68681335	-88.39456940	0.04079755
-43.18681335	-88.39456940	0.04078768
-42.68681335	-88.39456940	0.04077662
-42.18681335	-88.39456940	0.04076440
-41.68681335	-88.39456940	0.04075101
-41.18681335	-88.39456940	0.04073650
-40.68681335	-88.39456940	0.04072088
-40.18681335	-88.39456940	0.04070418
-39.68681335	-88.39456940	0.04068644
-39.18681335	-88.39456940	0.04066770
-38.68681335	-88.39456940	0.04064799
-38.18681335	-88.39456940	0.04062738
-37.68681335	-88.39456940	0.04060589
-37.18681335	-88.39456940	0.04058360
-36.68681335	-88.39456940	0.04056054
-36.18681335	-88.39456940	0.04053678
-35.68681335	-88.39456940	0.04051238
-35.18681335	-88.39456940	0.04048738
-34.68681335	-88.39456940	0.04046186
-34.18681335	-88.39456940	0.04043587
-33.68681335	-88.39456940	0.04040946
-33.18681335	-88.39456940	0.04038268
-32.68681335	-88.39456940	0.04035560
-32.18681335	-88.39456940	0.04032826
-31.68681335	-88.39456940	0.04030072
-31.18681335	-88.39456940	0.04027300
-30.68681335	-88.39456940	0.04024516
-30.18681335	-88.39456940	0.04021724
-29.68681335	-88.39456940	0.04018926
-29.18681335	-88.39456940	0.04016126
-28.68681335	-88.39456940	0.04013327
-28.18681335	-88.39456940	0.04010532
-27.68681335	-88.39456940	0.04007741
